order,barcode01,barcode02,barcode03,barcode04,barcode05,barcode06,barcode07,barcode08,barcode09,barcode10,barcode11,barcode12,barcode13,barcode14,barcode15,barcode16,barcode17,barcode18,barcode19,barcode20,barcode21,barcode22,barcode23,barcode24,total,superkingdom,kingdom,phylum,class,tax
Cardiobacteriales,0,0,0,0,0,0,0,0,0,38,1176,0,0,0,0,0,0,0,54,14,16,0,0,14,1312,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales
Cellvibrionales,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,10,0,51,14,86,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Cellvibrionales
Chromatiales,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,51,0,106,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Chromatiales
Enterobacterales,10675,11572,69012,409,55875,1152,327078,149818,16635,425,49620,0,24365,0,2078,0,0,113399,1104,1014,2179,2016,7582,84215,930223,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Enterobacterales
Lysobacterales,39,534,0,44,0,0,16,0,193,0,0,0,0,0,0,0,0,29,180,0,0,0,62,0,1097,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Lysobacterales
Methylococcales,0,0,0,0,0,0,0,0,54,0,24,0,0,0,0,0,0,0,0,0,0,0,16,28,122,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Methylococcales
Moraxellales,0,4670,143,157,136,21,1558,53832,1418,571,1078,0,394,0,169,0,0,231,70,0,233,0,689,135,65505,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Moraxellales
Nevskiales,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Nevskiales
Oceanospirillales,0,10,0,0,0,0,0,11,100,0,30,0,0,0,0,0,0,0,0,0,44,0,306,110,611,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Oceanospirillales
Pasteurellales,0,0,0,0,227,0,138,37,0,0,41,0,15,0,0,0,0,0,0,0,0,0,42,0,500,Bacteria,Bacteria_none,Pseudomonadota,Gammaproteobacteria,Bacteria;Bacteria_none;Pseudomonadota;Gammaproteobacteria;Pasteurellales
